student_id,full_name,dob,gender,major,class_id,email,phone,gpa,credits,height_cm,weight_kg,province,enrollment_date,height_m,bmi,age,isgpa_outlier,isbmi_outlier,gpa_zscore,bmi_zscore,age_zscore
1,Nguyen Van A,5/12/2004,M,Data Science,DS01,a.nguyen@neu.edu.vn,911000001,3.5,80,175,68,Ha Noi,9/5/2022,1.75,22.20408163,21.38809035,FALSE,FALSE,0.569147524,-0.200784021,0.046988826
2,Tran Thi B,11/2/2003,F,AI,AI01,b.tran@neu.edu.vn,911000002,3.85,95,160,50,Hai Phong,9/6/2021,1.6,19.53125,21.9137577,FALSE,FALSE,1.06100341,-0.583967386,0.882345732
3,Le Van C,7/20/2004,M,Data Science,DS02,c.le@neu.edu.vn,911000003,2.1,40,180,95,Thai Nguyen,9/5/2022,1.8,29.32098765,21.19917864,FALSE,TRUE,-1.398276017,0.819512196,-0.253217562
4,Pham Thi D,1/30/2003,F,Business Analytics,BA01,d.pham@neu.edu.vn,911000004,3.15,70,158,48,Nam Dinh,9/6/2021,1.58,19.22768787,22.66940452,FALSE,FALSE,0.077291639,-0.62748676,2.083171283
5,Hoang Van E,9/10/2004,M,AI,AI02,e.hoang@neu.edu.vn,911000005,3.95,110,170,120,Ha Noi,9/5/2022,1.7,41.52249135,21.0568104,FALSE,TRUE,1.201533663,2.568748173,-0.479460057
6,Vu Thi F,3/8/2005,F,Data Science,DS01,f.vu@neu.edu.vn,911000006,3.2,75,165,52,Ha Nam,9/4/2023,1.65,19.10009183,20.56673511,FALSE,FALSE,0.147556766,-0.645779226,-1.258256339
7,Do Van G,12/25/2003,M,Business Analytics,BA02,g.do@neu.edu.vn,911000007,2.7,60,174.25,70,Ninh Binh,9/6/2021,1.7425,23.05432794,21.76865161,FALSE,FALSE,-0.555094499,-0.078890731,0.651752419
8,Bui Thi H,6/18/2004,F,AI,AI01,h.bui@neu.edu.vn,911000008,3.1,65,155,51,Hung Yen,9/5/2022,1.55,21.22788762,21.28678987,FALSE,FALSE,0.007026513,-0.340733467,-0.113991411
9,Pham Van I,2/22/2005,M,Data Science,DS02,i.pham@neu.edu.vn,911000009,1.8,30,172,60,Thanh Hoa,9/4/2023,1.72,20.2812331,20.60506502,FALSE,FALSE,-1.819866775,-0.476448063,-1.197344898
10,Nguyen Thi J,8/14/2004,F,Business Analytics,BA01,j.nguyen@neu.edu.vn,911000010,3.6,100,162,54,Ha Noi,9/5/2022,1.62,20.57613169,21.13073238,FALSE,FALSE,0.709677777,-0.434170715,-0.361987992
